CHEMICAL NAME,CASRN,LAST SIGNIFICANT REVISION,IRIS SUMMARY,TOX REVIEW/SUPPORTING DOCUMENT,LITERATURE SCREENING REVIEW,CRITICAL EFFECT SYSTEMS,TUMOR SITE,PESTICIDE,ARCHIVE,NONCANCER ASSESSMENT TYPE,SYSTEM (RfD),RfD (mg/kg-day),BASIS (RfD),PoD (RfD),COMPOSITE UF (RfD),CONFIDENCE (RfD),SYSTEM (RfC),RfC (mg/m^3),BASIS (RfC),PoD (RfC),COMPOSITE UF (RfC),CONFIDENCE (RfC),WOE CHARACTERIZATION,FRAMEWORK FOR WOE CHARACTERIZATION,WOE BASIS,QUANT. EST. OF CARC. RISK FROM ORAL EXPOSURE,QUANT. EST. OF CARC. RISK FROM INHALATION EXPOSURE
Atrazine,1912-24-9,Oct-01-1993,"(PDF 15 pp, 126 K)",Not Available,Yes,None,None,pesticide,,Oral,Other,3.5 x 10 -2,Decreased body weight gain,NOAEL: 3.5 mg/kg-day,100,High,,,,,,,,,,,
Avermectin B1,65195-55-3,Jul-01-1989,"(PDF 9 pp, 94 K)",Not Available,Yes,Developmental,None,pesticide,,Oral,Developmental,4 x 10 -4,Increased retinal folds in weanlings; decreased viability and lactation indices; decreased pup body weight; increase of dead pups at birth,NOEL: 1.2 x 10-1 mg/kg-day,300,High,,,,,,,,,,,
Azobenzene,103-33-3,Sep-07-1988,"(PDF 9 pp, 97 K)",Not Available,Yes,None,None,,,,,,,,,,,,,,,,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Azobenzene induced invasive sarcomas in the spleen and other abdominal organs in male and female F344 rats following dietary administration. It is genotoxic and may be converted to benzidine, a known human carcinogen, under the acidic conditions in the stomach. This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 1.1 x 10-1 per mg/kg-day
Drinking Water Unit Risk: 3.1 x 10-6 per µg/L
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Other
Tumor type(s): Abdominal cavity sarcomas (NCI, 1979)","Inhalation Unit Risk: 3.1 x 10-5 per µg/m3
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Other
Tumor type(s): Abdominal cavity sarcomas (NCI, 1979)"
Barium and Compounds,7440-39-3,Jul-11-2005,"(PDF 34 pp, 208 K)","(PDF 88 pp, 325 K)",Yes,Urinary,None,,,Oral,Urinary,2 x 10 -1,Nephropathy,BMDL 05: 63 mg/kg-day,300,Medium,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Under EPA's 1986 Guidelines for Carcinogen Risk Assessment, barium would be classified as Group D, not classifiable as to human carcinogenicity. Under the Proposed Guidelines for Carcinogenic Risk Assessment (U.S. EPA, 1996), barium is considered not likely to be carcinogenic to humans following oral exposure and its carcinogenic potential cannot be determined following inhalation exposure. This may be a synopsis of the full weight-of-evidence narrative.",,
Barium and Compounds,7440-39-3,Jul-11-2005,"(PDF 34 pp, 208 K)","(PDF 88 pp, 325 K)",Yes,Urinary,None,,,Oral,Urinary,2 x 10 -1,Nephropathy,BMDL 05: 63 mg/kg-day,300,Medium,,,,,,,Carcinogenic potential cannot be determined (Inhalation route),"Proposed Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1996)","Under EPA's 1986 Guidelines for Carcinogen Risk Assessment, barium would be classified as Group D, not classifiable as to human carcinogenicity. Under the Proposed Guidelines for Carcinogenic Risk Assessment (U.S. EPA, 1996), barium is considered not likely to be carcinogenic to humans following oral exposure and its carcinogenic potential cannot be determined following inhalation exposure. This may be a synopsis of the full weight-of-evidence narrative.",,
Barium and Compounds,7440-39-3,Jul-11-2005,"(PDF 34 pp, 208 K)","(PDF 88 pp, 325 K)",Yes,Urinary,None,,,Oral,Urinary,2 x 10 -1,Nephropathy,BMDL 05: 63 mg/kg-day,300,Medium,,,,,,,Not likely to be carcinogenic to humans (Oral route),"Proposed Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1996)","Under EPA's 1986 Guidelines for Carcinogen Risk Assessment, barium would be classified as Group D, not classifiable as to human carcinogenicity. Under the Proposed Guidelines for Carcinogenic Risk Assessment (U.S. EPA, 1996), barium is considered not likely to be carcinogenic to humans following oral exposure and its carcinogenic potential cannot be determined following inhalation exposure. This may be a synopsis of the full weight-of-evidence narrative.",,
Barium cyanide,542-62-1,Mar-01-1991,"(PDF 4 pp, 77 K)",Not Available,No,None,None,,archive,,,,,,,,,,,,,,,,,,
Baygon,114-26-1,Sep-30-1987,"(PDF 8 pp, 92 K)",Not Available,Yes,Nervous,None,pesticide,,Oral,Nervous,4 x 10 -3,Mild cholinergic symptoms and RBD ChE inhibition,LEL: 3.6 x 10-1 mg/kg-day,100,Medium,,,,,,,,,,,
Bayleton,43121-43-3,Mar-01-1988,"(PDF 7 pp, 89 K)",Not Available,Yes,Hematologic,None,pesticide,archive,Oral,Hematologic; Other,3 x 10 -2,Decreased body weight gain; erythrocyte count and hemoglobin level,NOEL: 2.5 mg/kg-day,100,High,,,,,,,,,,,
Baythroid,68359-37-5,Mar-01-1988,"(PDF 7 pp, 86 K)",Not Available,Yes,Urinary,None,pesticide,,Oral,Urinary; Other,2.5 x 10 -2,Decreased body weights in males; inflammatory foci in kidneys of females,NOEL: 2.5 mg/kg-day,100,High,,,,,,,,,,,
Benefin,1861-40-1,Mar-31-1987,"(PDF 7 pp, 88 K)",Not Available,Yes,Hematologic,None,pesticide,archive,Oral,Hematologic,3 x 10 -1,Depressed erythrocyte counts,NOAEL: 2.5 x 101 mg/kg-day,100,Medium,,,,,,,,,,,
Benomyl,17804-35-2,Jan-31-1987,"(PDF 8 pp, 91 K)",Not Available,Yes,Developmental,None,pesticide,,Oral,Developmental,5 x 10 -2,Decreased pup weanling weights,NOEL: 5 mg/kg-day,100,High,,,,,,,,,,,
Bentazon (Basagran),25057-89-0,Mar-02-1998,"(PDF 20 pp, 145 K)","(PDF 30 pp, 180 K)",Yes,Hematologic,None,pesticide,,Oral,Hematologic,3 x 10 -2,Blood loss into the gastrointestinal tract; coagulation defect in male and female dogs,NOAEL (ADJ): 3.2 mg/kg-day,100,Medium,,,,,,,E (Evidence of non-carcinogenicity for humans),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Under EPA's 1986 Guidelines for Carcinogen Risk Assessment, Bentazon would be classified as evidence of non-carcinogenicity for humans, or a Group E chemical. Under EPA's proposed guidelines for carcinogen risk assessment (U.S. EPA, 1996), Bentazon would be characterized as not likely to be carcinogenic to humans by any route of exposure. This may be a synopsis of the full weight-of-evidence narrative.",,
Bentazon (Basagran),25057-89-0,Mar-02-1998,"(PDF 20 pp, 145 K)","(PDF 30 pp, 180 K)",Yes,Hematologic,None,pesticide,,Oral,Hematologic,3 x 10 -2,Blood loss into the gastrointestinal tract; coagulation defect in male and female dogs,NOAEL (ADJ): 3.2 mg/kg-day,100,Medium,,,,,,,Not likely to be carcinogenic to humans,"Proposed Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1996)","Under EPA's 1986 Guidelines for Carcinogen Risk Assessment, Bentazon would be classified as evidence of non-carcinogenicity for humans, or a Group E chemical. Under EPA's proposed guidelines for carcinogen risk assessment (U.S. EPA, 1996), Bentazon would be characterized as not likely to be carcinogenic to humans by any route of exposure. This may be a synopsis of the full weight-of-evidence narrative.",,
Benz[a]anthracene,56-55-3,Dec-01-1990,"(PDF 12 pp, 114 K)",Not Available,No,None,None,,,,,,,,,,,,,,,,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Based on no human data and sufficient data from animal bioassays. Benz[a]anthracene produced tumors in mice exposed by gavage; intraperitoneal, subcutaneous or intramuscular injection; and topical application. Benz[a]anthracene produced mutations in bacteria and in mammalian cells, and transformed mammalian cells in culture. This may be a synopsis of the full weight-of-evidence narrative.",,
Benzaldehyde,100-52-7,Sep-07-1988,"(PDF 6 pp, 86 K)",Not Available,Yes,Gastrointestinal; Urinary,None,,,Oral,Urinary; Gastrointestinal,1 x 10 -1,Forestomach lesions; kidney toxicity,NOEL: 1.43 x 102 mg/kg-day,1000,Low,,,,,,,,,,,
Benzene,71-43-2,Apr-17-2003,"(PDF 45 pp, 261 K)","(PDF 180 pp, 1.59 M)Benzene Support Documents",No,Immune,Hematologic,,,Oral,Immune,4 x 10 -3,Decreased lymphocyte count,BMDL: 1.2 mg/kg-day,300,Medium,,,,,,,A (Human carcinogen),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Benzene is classified as a ""known"" human carcinogen (Category A) under the Risk Assessment Guidelines of 1986. Under the proposed revised Carcinogen Risk Assessment Guidelines (U.S. EPA, 1996), benzene is characterized as a known human carcinogen for all routes of exposure based upon convincing human evidence as well as supporting evidence from animal studies. (U.S. EPA, 1979, 1985, 1998; ATSDR, 1997). This may be a synopsis of the full weight-of-evidence narrative.",,
Benzene,71-43-2,Apr-17-2003,"(PDF 45 pp, 261 K)","(PDF 180 pp, 1.59 M)Benzene Support Documents",No,Immune,Hematologic,,,Oral,Immune,4 x 10 -3,Decreased lymphocyte count,BMDL: 1.2 mg/kg-day,300,Medium,,,,,,,Known/likely human carcinogen,"Proposed Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1996)","Benzene is classified as a ""known"" human carcinogen (Category A) under the Risk Assessment Guidelines of 1986. Under the proposed revised Carcinogen Risk Assessment Guidelines (U.S. EPA, 1996), benzene is characterized as a known human carcinogen for all routes of exposure based upon convincing human evidence as well as supporting evidence from animal studies. (U.S. EPA, 1979, 1985, 1998; ATSDR, 1997). This may be a synopsis of the full weight-of-evidence narrative.",,
Benzene,71-43-2,Apr-17-2003,"(PDF 45 pp, 261 K)","(PDF 180 pp, 1.59 M)Benzene Support Documents",No,Immune,Hematologic,,,Inahlation,,,,,,,Immune,3 x 10 -2,Decreased lymphocyte count,BMCL : 8.2 mg/m3,300,Medium,A (Human carcinogen),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Benzene is classified as a ""known"" human carcinogen (Category A) under the Risk Assessment Guidelines of 1986. Under the proposed revised Carcinogen Risk Assessment Guidelines (U.S. EPA, 1996), benzene is characterized as a known human carcinogen for all routes of exposure based upon convincing human evidence as well as supporting evidence from animal studies. (U.S. EPA, 1979, 1985, 1998; ATSDR, 1997). This may be a synopsis of the full weight-of-evidence narrative.",,
Benzene,71-43-2,Apr-17-2003,"(PDF 45 pp, 261 K)","(PDF 180 pp, 1.59 M)Benzene Support Documents",No,Immune,Hematologic,,,Inahlation,,,,,,,Immune,3 x 10 -2,Decreased lymphocyte count,BMCL : 8.2 mg/m3,300,Medium,Known/likely human carcinogen,"Proposed Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1996)","Benzene is classified as a ""known"" human carcinogen (Category A) under the Risk Assessment Guidelines of 1986. Under the proposed revised Carcinogen Risk Assessment Guidelines (U.S. EPA, 1996), benzene is characterized as a known human carcinogen for all routes of exposure based upon convincing human evidence as well as supporting evidence from animal studies. (U.S. EPA, 1979, 1985, 1998; ATSDR, 1997). This may be a synopsis of the full weight-of-evidence narrative.",,
Benzidine,92-87-5,Jul-01-1991,"(PDF 16 pp, 129 K)",Not Available,Yes,Hepatic; Nervous,Urinary,,,Oral,Nervous; Hepatic,3 x 10 -3,Brain cell vacuolization; liver cell alterations in females,LOAEL: 2.7 mg/kg-day,1000,Medium,,,,,,,A (Human carcinogen),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Observation of increased incidence of bladder cancer and bladder cancer-related deaths in exposed workers This may be a synopsis of the full weight-of-evidence narrative.,"Oral Slope Factor: 2.3 x 102 per mg/kg-day
Drinking Water Unit Risk: 6.7 x 10-3 per µg/L
Extrapolation Method: One-hit with time factor, extra risk
Tumor site(s): Urinary
Tumor type(s): Bladder tumors (Zavon, 1973)","Inhalation Unit Risk: 6.7 x 10-2 per µg/m3
Extrapolation Method: One-hit with time factor, extra risk
Tumor site(s): Urinary
Tumor type(s): Bladder tumors (Zavon, 1973)"
Benzo[a]pyrene (BaP),50-32-8,Jan-19-2017,"(PDF 9 pp, 671 K)","(PDF 234 pp, 4.67 M)Benzo[a]pyrene (BaP) Support Documents",No,Developmental; Immune; Reproductive,Gastrointestinal; Respiratory,,,Oral,Developmental,3 x 10 -4,Neurobehavioral changes,BMDL1SD (HED): 9.2 x 10-2 mg/kg-day,300,Medium,,,,,,,Carcinogenic to humans,"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)","Under EPA’s Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005), benzo[a]pyrene is “carcinogenic to humans” based on strong and consistent evidence in animals and humans. This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 1 per mg/kg-day
Extrapolation Method: Time-to-tumor dose-response model with linear extrapolation from the POD (BMDL10(HED)) associated with 10% extra cancer risk.
Tumor site(s): Gastrointestinal
Tumor type(s): forestomach, esophagus, tongue, and larynx tumors (Kroese et al. 2001; Beland and Culp, 1998)
Note: ADAF -- EPA has concluded that benzo[a]pyrene is carcinogenic by a mutagenic mode of action. Application of age-dependent adjustment factors (ADAFs) to the oral slope factor is recommended in combination with appropriate exposure data when assessing risk associated with early-life exposure.","Inhalation Unit Risk: 6 x 10-4 per µg/m3
Extrapolation Method: Time-to-tumor dose-response model with linear extrapolation from the POD ((BMCL10(HED)) associated with 10% extra cancer risk.
Tumor site(s): Respiratory, Gastrointestinal
Tumor type(s): Squamous cell neoplasia in the larynx, pharynx, trachea, nasal cavity, esophagus, and forestomach. (Thyssen et al., 1981)
Note: ADAF -- EPA has concluded that benzo[a]pyrene is carcinogenic by a mutagenic mode of action. Application of age-dependent adjustment factors (ADAFs) to the inhalation unit risk is recommended in combination with appropriate exposure data when assessing risk associated with early-life exposure."
Benzo[a]pyrene (BaP),50-32-8,Jan-19-2017,"(PDF 9 pp, 671 K)","(PDF 234 pp, 4.67 M)Benzo[a]pyrene (BaP) Support Documents",No,Developmental; Immune; Reproductive,Gastrointestinal; Respiratory,,,Inahlation,,,,,,,Developmental,2 x 10 -6,Decreased embryo/fetal survival,LOAEL : 4.6 x 10-3 mg/m3,3000,Low/Medium,Carcinogenic to humans,"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)","Under EPA’s Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005), benzo[a]pyrene is “carcinogenic to humans” based on strong and consistent evidence in animals and humans. This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 1 per mg/kg-day
Extrapolation Method: Time-to-tumor dose-response model with linear extrapolation from the POD (BMDL10(HED)) associated with 10% extra cancer risk.
Tumor site(s): Gastrointestinal
Tumor type(s): forestomach, esophagus, tongue, and larynx tumors (Kroese et al. 2001; Beland and Culp, 1998)
Note: ADAF -- EPA has concluded that benzo[a]pyrene is carcinogenic by a mutagenic mode of action. Application of age-dependent adjustment factors (ADAFs) to the oral slope factor is recommended in combination with appropriate exposure data when assessing risk associated with early-life exposure.","Inhalation Unit Risk: 6 x 10-4 per µg/m3
Extrapolation Method: Time-to-tumor dose-response model with linear extrapolation from the POD ((BMCL10(HED)) associated with 10% extra cancer risk.
Tumor site(s): Respiratory, Gastrointestinal
Tumor type(s): Squamous cell neoplasia in the larynx, pharynx, trachea, nasal cavity, esophagus, and forestomach. (Thyssen et al., 1981)
Note: ADAF -- EPA has concluded that benzo[a]pyrene is carcinogenic by a mutagenic mode of action. Application of age-dependent adjustment factors (ADAFs) to the inhalation unit risk is recommended in combination with appropriate exposure data when assessing risk associated with early-life exposure."
Benzo[b]fluoranthene,205-99-2,Dec-01-1990,"(PDF 8 pp, 94 K)",Not Available,No,None,None,,,,,,,,,,,,,,,,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Based on no human data and sufficient data from animal bioassays. Benzo[b]fluoranthene produced tumors in mice after lung implantation, intraperitoneal (i.p.) or subcutaneous (s.c.) injection, and skin painting. This may be a synopsis of the full weight-of-evidence narrative.",,
"Benzo[g,h,i]perylene",191-24-2,Dec-01-1990,"(PDF 8 pp, 98 K)",Not Available,No,None,None,,,,,,,,,,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Based on no human data and inadequate animal data from lung implant, skin-painting and subcutaneous injection bioassays. This may be a synopsis of the full weight-of-evidence narrative.",,
Benzo[k]fluoranthene,207-08-9,Nov-01-1990,"(PDF 8 pp, 97 K)",Not Available,No,None,None,,,,,,,,,,,,,,,,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Based on no human data and sufficient data from animal bioassays. Benzo[k]fluoranthene produced tumors after lung implantation in mice and when administered with a promoting agent in skin-painting studies. Equivocal results have been found in a lung adenoma assay in mice. Benzo[k]fluoranthene is mutagenic in bacteria. This may be a synopsis of the full weight-of-evidence narrative.,,
Benzoic acid,65-85-0,Aug-01-1989,"(PDF 11 pp, 108 K)",Not Available,Yes,None,None,,,Oral,Other,4,No adverse effects observed,NOAEL: 4.4 mg/kg-day,1,Medium,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",No human data and inadequate data from animal bioassays This may be a synopsis of the full weight-of-evidence narrative.,,
Benzotrichloride,98-07-7,Jul-01-1990,"(PDF 14 pp, 119 K)",Not Available,No,None,Respiratory,,,,,,,,,,,,,,,,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Based on inadequate human data and sufficient evidence of carcinogenicity in animals; namely, significantly increased incidences of benign and malignant tumors at multiple sites in one strain of female mice treated orally, dermally, and by inhalation. There is also evidence of mutagenicity in a variety of test systems. This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 1.3 x 101 per mg/kg-day
Drinking Water Unit Risk: 3.6 x 10-4 per µg/L
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Respiratory
Tumor type(s): Lung, adenocarcinoma (Fukuda et al., 1978)",
Benzyl chloride,100-44-7,Jan-01-1992,"(PDF 13 pp, 118 K)",Not Available,Yes,None,Endocrine,,,,,,,,,,,,,,,,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Based on inadequate human data and sufficient evidence of carcinogenicity in animals; namely significantly increased incidences of benign and malignant tumors at multiple sites in both sexes of mice and a significant increase in thyroid tumors in female rats. There was evidence of mutagenicity in a variety of test systems. This may be a synopsis of the full weight-of-evidence narrative.,"Oral Slope Factor: 1.7 x 10-1 per mg/kg-day
Drinking Water Unit Risk: 4.9 x 10-6 per µg/L
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Endocrine
Tumor type(s): Thyroid, C-cell adenoma/ carcinoma (Lijinsky, 1986)",
